Id	Count	File(s)
8L15	5087	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L15_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L15_R2.fastq
4SP5	5103	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP5_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP5_R2.fastq
4SP13	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP13_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP13_R2.fastq
4SP21	2470	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP21_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP21_R2.fastq
4L4	659	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L4_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L4_R2.fastq
4L12	3713	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L12_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L12_R2.fastq
4L20	13744	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L20_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L20_R2.fastq
4L28	12260	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L28_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L28_R2.fastq
4L36	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L36_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L36_R2.fastq
4L44	1328	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L44_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L44_R2.fastq
4L52	2	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L52_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L52_R2.fastq
8L8	6257	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L8_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L8_R2.fastq
8L16	5240	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L16_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L16_R2.fastq
4SP6	3702	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP6_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP6_R2.fastq
4SP14	2260	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP14_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP14_R2.fastq
4SP22	2232	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP22_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP22_R2.fastq
4L5	6392	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L5_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L5_R2.fastq
4L13	5385	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L13_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L13_R2.fastq
4L21	141	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L21_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L21_R2.fastq
4L29	8879	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L29_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L29_R2.fastq
4L37	1	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L37_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L37_R2.fastq
4L45	2253	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L45_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L45_R2.fastq
8L1	1	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L1_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L1_R2.fastq
8L9	7622	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L9_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L9_R2.fastq
8L17	8266	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L17_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L17_R2.fastq
4SP7	6342	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP7_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP7_R2.fastq
